Instance,Min
t2s_0001,301
t2s_0002,538
t2s_0003,380
t2s_0004,601
t2s_0005,353
t2s_0006,461
t2s_0007,547
t2s_0008,678
t2s_0009,502
t2s_0010,200
t2s_0011,580
t2s_0012,715
t2s_0013,787
t2s_0014,696
t2s_0015,843
t2s_0016,508
t2s_0017,422
t2s_0018,358
t2s_0019,424
t2s_0020,821
t2s_0021,461
t2s_0022,606
t2s_0023,872
t2s_0024,265
t2s_0025,414
t2s_0026,781
t2s_0027,648
t2s_0028,526
t2s_0029,603
t2s_0030,819
t2s_0031,547
t2s_0032,707
t2s_0033,680
t2s_0034,357
t2s_0035,360
t2s_0036,757
t2s_0037,728
t2s_0038,505
t2s_0039,499
t2s_0040,798
t2s_0041,510
t2s_0042,500
t2s_0043,847
t2s_0044,652
t2s_0045,477
t2s_0046,702
t2s_0047,600
t2s_0048,746
t2s_0049,857
t2s_0050,882
t2s_0051,826
t2s_0052,565
t2s_0053,553
t2s_0054,551
t2s_0055,644
t2s_0056,728
t2s_0057,648
t2s_0058,483
t2s_0059,612
t2s_0060,328
t2s_0061,667
t2s_0062,692
t2s_0063,879
t2s_0064,483
t2s_0065,673
t2s_0066,482
t2s_0067,877
t2s_0068,634
t2s_0069,595
t2s_0070,950
t2s_0071,618
t2s_0072,891
t2s_0073,649
t2s_0074,674
t2s_0075,577
t2s_0076,1061
t2s_0077,479
t2s_0078,882
t2s_0079,815
t2s_0080,646
t2s_0081,529
t2s_0082,549
t2s_0083,600
t2s_0084,740
t2s_0085,719
t2s_0086,838
t2s_0087,550
t2s_0088,628
t2s_0089,582
t2s_0090,543
t2s_0091,643
t2s_0092,869
t2s_0093,701
t2s_0094,681
t2s_0095,612
t2s_0096,973
t2s_0097,664
t2s_0098,503
t2s_0099,961
t2s_0100,744
t2s_0101,716
t2s_0102,813
t2s_0103,675
t2s_0104,710
t2s_0105,1243
t2s_0106,709
t2s_0107,355
t2s_0108,688
t2s_0109,786
t2s_0110,880
t2s_0111,627
t2s_0112,804
t2s_0113,1115
t2s_0114,611
t2s_0115,458
t2s_0116,602
t2s_0117,755
t2s_0118,799
t2s_0119,507
t2s_0120,693
t2s_0121,1559
t2s_0122,1704
t2s_0123,2220
t2s_0124,1247
t2s_0125,1946
t2s_0126,1619
t2s_0127,1728
t2s_0128,1931
t2s_0129,1492
t2s_0130,2759
t2s_0131,2352
t2s_0132,1577
t2s_0133,1472
t2s_0134,2219
t2s_0135,2529
t2s_0136,1105
t2s_0137,1519
t2s_0138,2162
t2s_0139,1642
t2s_0140,1789
t2s_0141,1291
t2s_0142,1124
t2s_0143,1612
t2s_0144,2496
t2s_0145,1871
t2s_0146,1313
t2s_0147,1312
t2s_0148,1941
t2s_0149,2280
t2s_0150,1783
t2s_0151,1833
t2s_0152,1719
t2s_0153,1398
t2s_0154,2046
t2s_0155,2407
t2s_0156,1693
t2s_0157,1744
t2s_0158,1838
t2s_0159,1793
t2s_0160,1730
t2s_0161,2527
t2s_0162,1984
t2s_0163,1686
t2s_0164,1535
t2s_0165,2115
t2s_0166,1966
t2s_0167,2114
t2s_0168,2017
t2s_0169,1836
t2s_0170,2479
t2s_0171,1965
t2s_0172,2472
t2s_0173,1253
t2s_0174,1693
t2s_0175,1231
t2s_0176,1433
t2s_0177,1754
t2s_0178,1688
t2s_0179,1708
t2s_0180,1401
t2s_0181,1655
t2s_0182,1381
t2s_0183,2409
t2s_0184,2032
t2s_0185,1720
t2s_0186,2101
t2s_0187,1522
t2s_0188,1881
t2s_0189,1484
t2s_0190,2440
t2s_0191,2006
t2s_0192,2123
t2s_0193,1420
t2s_0194,1988
t2s_0195,2524
t2s_0196,2347
t2s_0197,1849
t2s_0198,1605
t2s_0199,1713
t2s_0200,1815
t2s_0201,1794
t2s_0202,1918
t2s_0203,2251
t2s_0204,1909
t2s_0205,2558
t2s_0206,2236
t2s_0207,1748
t2s_0208,1592
t2s_0209,1683
t2s_0210,2210
t2s_0211,2356
t2s_0212,1592
t2s_0213,2558
t2s_0214,1972
t2s_0215,1428
t2s_0216,2082
t2s_0217,1952
t2s_0218,2035
t2s_0219,1814
t2s_0220,2112
t2s_0221,2112
t2s_0222,2656
t2s_0223,2185
t2s_0224,2406
t2s_0225,2116
t2s_0226,1875
t2s_0227,2530
t2s_0228,3034
t2s_0229,2348
t2s_0230,2213
t2s_0231,2247
t2s_0232,1965
t2s_0233,1876
t2s_0234,2307
t2s_0235,1579
t2s_0236,2410
t2s_0237,1542
t2s_0238,2697
t2s_0239,2274
t2s_0240,2293
t2s_0241,3278
t2s_0242,1920
t2s_0243,2995
t2s_0244,1812
t2s_0245,2070
t2s_0246,2633
t2s_0247,2082
t2s_0248,2339
t2s_0249,1687
t2s_0250,2834
t2s_0251,1646
t2s_0252,3134
t2s_0253,2549
t2s_0254,2590
t2s_0255,2105
t2s_0256,3297
t2s_0257,3204
t2s_0258,2758
t2s_0259,1818
t2s_0260,3002
t2s_0261,2747
t2s_0262,3054
t2s_0263,2671
t2s_0264,2285
t2s_0265,1856
t2s_0266,2164
t2s_0267,3459
t2s_0268,3637
t2s_0269,2690
t2s_0270,2192
t2s_0271,1927
t2s_0272,2616
t2s_0273,2436
t2s_0274,2313
t2s_0275,3803
t2s_0276,2468
t2s_0277,3307
t2s_0278,2757
t2s_0279,2178
t2s_0280,1897
t2s_0281,2780
t2s_0282,2976
t2s_0283,1917
t2s_0284,1405
t2s_0285,2808
t2s_0286,3379
t2s_0287,3026
t2s_0288,2301
t2s_0289,2175
t2s_0290,2439
t2s_0291,2352
t2s_0292,2691
t2s_0293,2073
t2s_0294,1988
t2s_0295,1952
t2s_0296,2255
t2s_0297,2175
t2s_0298,2744
t2s_0299,3191
t2s_0300,2165
t2s_0301,2368
t2s_0302,2331
t2s_0303,1984
t2s_0304,2763
t2s_0305,2079
t2s_0306,2842
t2s_0307,2542
t2s_0308,2378
t2s_0309,2287
t2s_0310,3401
t2s_0311,2385
t2s_0312,2108
t2s_0313,2439
t2s_0314,2735
t2s_0315,2225
t2s_0316,3242
t2s_0317,2587
t2s_0318,2878
t2s_0319,3637
t2s_0320,3097
t2s_0321,2695
t2s_0322,2640
t2s_0323,2799
t2s_0324,3188
t2s_0325,2373
t2s_0326,2313
t2s_0327,2676
t2s_0328,2554
t2s_0329,2497
t2s_0330,2150
t2s_0331,2233
t2s_0332,2753
t2s_0333,3094
t2s_0334,2806
t2s_0335,2244
t2s_0336,2996
t2s_0337,2018
t2s_0338,2880
t2s_0339,2247
t2s_0340,3519
t2s_0341,2674
t2s_0342,1957
t2s_0343,1866
t2s_0344,2977
t2s_0345,3172
t2s_0346,2744
t2s_0347,3628
t2s_0348,2904
t2s_0349,3963
t2s_0350,2893
t2s_0351,2413
t2s_0352,2192
t2s_0353,3234
t2s_0354,3406
t2s_0355,4576
t2s_0356,2348
t2s_0357,3378
t2s_0358,3444
t2s_0359,2845
t2s_0360,2609
